myid = 10	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_acc/rand11/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	3.0
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
DT_FRAGCHECK	2.0*3.14159265358979323846*0.1
GEOMETRIC_RATIO_FRAG	pow(10.0,1.0/8.0)
DELTA_R	0.01
DELTA_THETA	0.125*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	DEPLETION_TIME_EXPLICIT
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
inner = 819,	center = 1126,	outer = 1054,	total = 3000
initial mass depletion timescale =3.111733e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  2061	1.712633443737800e-03	4.216965034285821e-01	1.748181832192363e-02
2.000000e+06	  3	  3000	   391	1.712047456479150e-03	7.498942093324554e-01	1.359043187512411e-01
3.000000e+06	  3	  3000	  1165	1.662689236490329e-03	1.333521432163323e+00	2.630509783551028e-03
4.000000e+06	  3	  3000	  2611	1.650617242052559e-03	1.778279410038922e+00	4.239062858425412e-02
5.000000e+06	  3	  3000	  2467	1.826840136718350e-03	1.778279410038922e+00	5.304615192532041e-01
6.000000e+06	  3	  3000	  2198	1.732581445985717e-03	2.371373705661654e+00	4.161448767332680e-01
7.000000e+06	  3	  3000	   115	1.068554877386648e-03	3.162277660168377e+00	1.397473058471352e-01
8.000000e+06	  3	  3000	  1589	1.399011241750620e-03	3.162277660168377e+00	6.664687210474957e-01
9.000000e+06	  3	  3000	   827	1.445406814461871e-03	4.216965034285820e+00	1.309391226771828e-01
1.000000e+07	  3	  3000	   558	2.043930742153722e-03	4.216965034285820e+00	6.551475491412614e-01
1.100000e+07	  3	  3000	   784	1.342890232809129e-03	4.216965034285820e+00	1.179190584343080e+00
1.200000e+07	  3	  3000	  1437	1.390412076564613e-03	5.623413251903486e+00	2.974143224513704e-01
1.300000e+07	  3	  3000	  2667	1.343720099291509e-03	5.623413251903486e+00	8.238344320473576e-01
1.400000e+07	  3	  3000	   827	1.721616257657233e-03	5.623413251903486e+00	1.349308853733125e+00
1.500000e+07	  3	  3000	   313	4.012830307093735e-04	7.498942093324552e+00	1.643830690227168e-03
1.600000e+07	  3	  3000	   282	1.644364595399824e-03	7.498942093324552e+00	5.285078635110119e-01
1.700000e+07	  3	  3000	  1562	1.414210266759915e-03	7.498942093324552e+00	1.057393583792085e+00
1.800000e+07	  3	  3000	  1738	1.465672055746991e-03	7.498942093324552e+00	1.583559077983253e+00
1.900000e+07	  3	  3000	  2536	1.464881416687946e-03	7.498942093324552e+00	2.112149326435552e+00
2.000000e+07	  3	  3000	   668	1.390829954630245e-03	9.999999999999991e+00	1.369873807896631e-01
2.100000e+07	  3	  3000	   899	1.818948339809185e-03	9.999999999999991e+00	6.606642671928622e-01
2.200000e+07	  3	  3000	   746	2.168985390578561e-03	9.999999999999991e+00	1.187388284498808e+00
2.300000e+07	  3	  3000	   587	1.410286417357344e-03	9.999999999999991e+00	1.715872461395733e+00
2.400000e+07	  3	  3000	   417	1.274156836600223e-03	9.999999999999991e+00	2.241618521554369e+00
2.500000e+07	  3	  3000	  2293	1.363643773356307e-03	9.999999999999991e+00	2.768944134497767e+00
2.600000e+07	  3	  3000	  1563	1.311430709238780e-03	9.999999999999991e+00	3.294367527796759e+00
2.700000e+07	  3	  3000	  1825	1.308967349325600e-03	1.333521432163323e+01	4.861291558383656e-01
2.800000e+07	  3	  3000	  1624	1.564979165092997e-03	1.333521432163323e+01	1.013980969722140e+00
2.900000e+07	  3	  3000	   647	1.972674078166633e-03	1.333521432163323e+01	1.542010534772935e+00
3.000000e+07	  3	  3000	  1492	1.118254575866670e-03	1.333521432163323e+01	2.070325845235975e+00
