myid = 3	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_acc/rand04/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	3.0
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
DT_FRAGCHECK	2.0*3.14159265358979323846*0.1
GEOMETRIC_RATIO_FRAG	pow(10.0,1.0/8.0)
DELTA_R	0.01
DELTA_THETA	0.125*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	DEPLETION_TIME_EXPLICIT
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
inner = 873,	center = 997,	outer = 1127,	total = 3000
initial mass depletion timescale =3.514354e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	     2	7.946138736973686e-06	4.216965034285821e-01	1.876886197768058e-02
2.000000e+06	  3	  3000	  2201	1.446737970036407e-03	7.498942093324554e-01	1.336497010090361e-01
3.000000e+06	  3	  3000	  2316	1.211337255592579e-03	1.333521432163323e+00	1.657998866448256e-03
4.000000e+06	  3	  3000	  1312	1.799943996727722e-03	1.778279410038922e+00	6.575881564734964e-03
5.000000e+06	  3	  3000	  2590	1.556273350251638e-03	1.778279410038922e+00	4.791054416412268e-01
6.000000e+06	  3	  3000	  2585	1.461466988949458e-03	2.371373705661654e+00	3.739732703019934e-01
7.000000e+06	  3	  3000	  2773	1.660096354445772e-03	3.162277660168377e+00	8.096544417897093e-02
8.000000e+06	  3	  3000	  2897	1.629455699359812e-03	3.162277660168377e+00	5.767677725820587e-01
9.000000e+06	  3	  3000	  1118	1.857235187990805e-03	4.216965034285820e+00	2.406545080831394e-02
1.000000e+07	  3	  3000	  1339	1.192300269905726e-03	4.216965034285820e+00	5.376525259697538e-01
1.100000e+07	  3	  3000	  1147	1.742974816814019e-03	4.216965034285820e+00	1.061991775960748e+00
1.200000e+07	  3	  3000	  2908	1.584007279989324e-03	5.623413251903486e+00	1.722279176078506e-01
1.300000e+07	  3	  3000	  2371	1.674780044235620e-03	5.623413251903486e+00	7.009288181856066e-01
1.400000e+07	  3	  3000	   484	1.687475387577236e-03	5.623413251903486e+00	1.225492178159367e+00
1.500000e+07	  3	  3000	  2219	1.227359673257139e-03	5.623413251903486e+00	1.755018874792643e+00
1.600000e+07	  3	  3000	  2151	1.455223599149154e-03	7.498942093324552e+00	4.055701931219484e-01
1.700000e+07	  3	  3000	  1500	1.812323648486276e-03	7.498942093324552e+00	9.335888225205569e-01
1.800000e+07	  3	  3000	   225	1.656569968871644e-03	7.498942093324552e+00	1.459670927426437e+00
1.900000e+07	  3	  3000	  2513	1.512810403029039e-03	7.498942093324552e+00	1.986639979602993e+00
2.000000e+07	  3	  3000	  2331	1.208857345853107e-03	9.999999999999991e+00	1.432749051854902e-02
2.100000e+07	  3	  3000	   402	1.892324448066246e-03	9.999999999999991e+00	5.427748476876780e-01
2.200000e+07	  3	  3000	   275	1.417082688082760e-03	9.999999999999991e+00	1.073178600024928e+00
2.300000e+07	  3	  3000	  1605	1.638435883936347e-03	9.999999999999991e+00	1.598637620871779e+00
2.400000e+07	  3	  3000	  1086	1.331905068969285e-03	9.999999999999991e+00	2.127316281372682e+00
2.500000e+07	  3	  3000	   586	2.175735069082209e-03	9.999999999999991e+00	2.655765916099380e+00
