myid = 0	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-15_ecc5E-2_frag_acc/rand01/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-15_ecc5E-2_frag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	5.0
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
DT_FRAGCHECK	2.0*3.14159265358979323846*0.1
GEOMETRIC_RATIO_FRAG	pow(10.0,1.0/8.0)
DELTA_R	0.01
DELTA_THETA	0.125*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	DEPLETION_TIME_EXPLICIT
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=1.32959e-05
inner = 829,	center = 1124,	outer = 1047,	total = 3000
initial mass depletion timescale =1.305172e+01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  1615	1.738703903793999e-03	4.216965034285821e-01	9.804621668458066e-02
2.000000e+06	  3	  3000	  2606	2.175232123936810e-03	9.999999999999994e-01	4.499445124734559e-02
3.000000e+06	  3	  3000	    97	1.273598417632521e-03	1.333521432163323e+00	2.280180056453405e-01
4.000000e+06	  3	  3000	   975	1.790106157521392e-03	1.778279410038922e+00	3.002694547772842e-01
5.000000e+06	  3	  3000	  2937	1.515866102592593e-03	2.371373705661654e+00	2.188691110804178e-01
6.000000e+06	  3	  3000	  2142	1.566981749314586e-03	2.371373705661654e+00	7.101057191856064e-01
7.000000e+06	  3	  3000	  1577	1.113631372236675e-03	3.162277660168377e+00	3.928277257022359e-01
8.000000e+06	  3	  3000	   533	1.387416645208612e-03	3.162277660168377e+00	8.691354080467925e-01
9.000000e+06	  3	  3000	  2776	1.272490591105467e-03	4.216965034285820e+00	3.035342115755873e-01
1.000000e+07	  3	  3000	     2	7.951068537441331e-06	4.216965034285820e+00	7.957545813506075e-01
1.100000e+07	  3	  3000	   239	2.190163063682981e-03	4.216965034285820e+00	1.281806831279098e+00
1.200000e+07	  3	  3000	     2	7.907335700977671e-06	5.623413251903486e+00	3.460123761497225e-01
1.300000e+07	  3	  3000	  2177	1.402440467320150e-03	5.623413251903486e+00	8.263726359967589e-01
1.400000e+07	  3	  3000	   732	1.805878866335569e-03	5.623413251903486e+00	1.289534881461478e+00
1.500000e+07	  3	  3000	  1688	1.630127602713050e-03	5.623413251903486e+00	1.779385673973936e+00
1.600000e+07	  3	  3000	  1257	1.978900687227441e-03	7.498942093324552e+00	3.895683252759321e-01
1.700000e+07	  3	  3000	  1150	1.977665129977378e-03	7.498942093324552e+00	8.618372436181643e-01
1.800000e+07	  3	  3000	   987	1.576844002415915e-03	7.498942093324552e+00	1.320667682405922e+00
1.900000e+07	  3	  3000	  2013	1.936125571371753e-03	7.498942093324552e+00	1.806971442347594e+00
2.000000e+07	  3	  3000	  2074	1.865454251996214e-03	7.498942093324552e+00	2.296979910635212e+00
2.100000e+07	  3	  3000	   395	2.347936324745213e-03	9.999999999999991e+00	2.781972901235548e-01
2.200000e+07	  3	  3000	   528	1.579642285376555e-03	9.999999999999991e+00	7.663956366483755e-01
2.300000e+07	  3	  3000	  2907	1.447500491942443e-03	9.999999999999991e+00	1.222109569540260e+00
2.400000e+07	  3	  3000	  1393	1.325702272406025e-03	9.999999999999991e+00	1.697304741454251e+00
2.500000e+07	  3	  3000	  1194	1.744138420797437e-03	9.999999999999991e+00	2.138592260227101e+00
2.600000e+07	  3	  3000	  2520	2.299176529142526e-03	9.999999999999991e+00	2.620975745185045e+00
2.700000e+07	  3	  3000	     2	8.845945824502405e-06	9.999999999999991e+00	3.103954218047647e+00
