myid = 3	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-15_ecc5E-2_nofrag_acc/rand04/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-15_ecc5E-2_nofrag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	5.0
STEP_INTERVAL	1.0E6
BREAK_TIME	42900.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
inner = 865,	center = 1045,	outer = 1087,	total = 3000
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	    29	1.352525643381086e-03	4.216965034285821e-01	9.516550189121738e-02
2.000000e+06	  3	  3000	  2212	1.699461189432652e-03	9.999999999999994e-01	4.280088276876066e-02
3.000000e+06	  3	  3000	  2934	1.773082149741219e-03	1.333521432163323e+00	2.280434096836960e-01
4.000000e+06	  3	  3000	  1276	1.716776768862158e-03	1.778279410038922e+00	3.075629964635855e-01
5.000000e+06	  3	  3000	  2847	1.595344232272678e-03	2.371373705661654e+00	2.375140880654883e-01
6.000000e+06	  3	  3000	  1573	1.340577708053129e-03	2.371373705661654e+00	7.586594276092816e-01
7.000000e+06	  3	  3000	  2467	2.374453741331036e-03	3.162277660168377e+00	4.925890075534462e-01
8.000000e+06	  3	  3000	  1488	1.393719313346497e-03	3.162277660168377e+00	1.015193767585810e+00
9.000000e+06	  3	  3000	  1499	2.244232837522999e-03	4.216965034285820e+00	4.850608852946985e-01
1.000000e+07	  3	  3000	   844	1.770960123293855e-03	4.216965034285820e+00	1.007295148577042e+00
1.100000e+07	  3	  3000	   359	1.386247310986259e-03	5.623413251903486e+00	1.244684772103901e-01
1.200000e+07	  3	  3000	  2001	1.421657340838145e-03	5.623413251903486e+00	6.489905609427221e-01
1.300000e+07	  3	  3000	  1186	1.386580773558840e-03	5.623413251903486e+00	1.171202966343371e+00
1.400000e+07	  3	  3000	    52	2.223117787086349e-03	5.623413251903486e+00	1.697377141883387e+00
1.500000e+07	  3	  3000	  1292	9.280621817081931e-04	7.498942093324552e+00	3.438647527191244e-01
1.600000e+07	  3	  3000	  2675	1.202522098877068e-03	7.498942093324552e+00	8.668404802482087e-01
1.700000e+07	  3	  3000	   123	1.632767481736456e-03	7.498942093324552e+00	1.392581298295303e+00
1.800000e+07	  3	  3000	   227	1.516720195428292e-03	7.498942093324552e+00	1.914468924789879e+00
1.900000e+07	  3	  3000	   118	1.370585116622389e-03	7.498942093324552e+00	2.440615722686265e+00
2.000000e+07	  3	  3000	  2084	1.904442513197333e-03	9.999999999999991e+00	4.610646651382310e-01
2.100000e+07	  3	  3000	  2485	1.565909485794396e-03	9.999999999999991e+00	9.865505038036217e-01
2.200000e+07	  3	  3000	  2802	1.628008913666767e-03	9.999999999999991e+00	1.509340217044969e+00
2.300000e+07	  3	  3000	  1031	1.380705935775123e-03	9.999999999999991e+00	2.033067720213424e+00
2.400000e+07	  3	  3000	   424	1.914307581947841e-03	9.999999999999991e+00	2.557218271071896e+00
2.500000e+07	  3	  3000	  1211	1.822470574098890e-03	9.999999999999991e+00	3.081167643261284e+00
2.600000e+07	  3	  3000	  2983	1.327714642491163e-03	1.333521432163323e+01	2.687562683542588e-01
2.700000e+07	  3	  3000	  1442	1.235150019317567e-03	1.333521432163323e+01	7.912737211799979e-01
2.800000e+07	  3	  3000	   228	1.743778390099541e-03	1.333521432163323e+01	1.314946538590554e+00
2.900000e+07	  3	  3000	  2311	1.076848765584186e-03	1.333521432163323e+01	1.838065928901639e+00
3.000000e+07	  3	  3000	  1213	1.187234873269481e-03	1.333521432163323e+01	2.362783426874145e+00
3.100000e+07	  3	  3000	  1126	1.348830740738779e-03	1.333521432163323e+01	2.885376857221456e+00
3.200000e+07	  3	  3000	  2522	1.647431879585270e-03	1.333521432163323e+01	3.410012500732361e+00
3.300000e+07	  3	  3000	  2156	1.339149650639468e-03	1.333521432163323e+01	3.933027918750913e+00
3.400000e+07	  3	  3000	  1670	1.898733725119592e-03	1.778279410038921e+01	8.159022894174101e-03
3.500000e+07	  3	  3000	  2770	1.454038656218808e-03	1.778279410038921e+01	5.311109723101870e-01
3.600000e+07	  3	  3000	  2579	1.876832018622465e-03	1.778279410038921e+01	1.054976958995795e+00
3.700000e+07	  3	  3000	   131	1.400345141601496e-03	1.778279410038921e+01	1.579322683606027e+00
3.800000e+07	  3	  3000	  1931	1.898518253202987e-03	1.778279410038921e+01	2.101964954510532e+00
3.900000e+07	  3	  3000	  1665	1.658762416609031e-03	1.778279410038921e+01	2.626142602033530e+00
