myid = 5	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc5E-2_frag_acc/rand06/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc5E-2_frag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	5.0
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
DT_FRAGCHECK	2.0*3.14159265358979323846*0.1
GEOMETRIC_RATIO_FRAG	pow(10.0,1.0/8.0)
DELTA_R	0.01
DELTA_THETA	0.125*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	DEPLETION_TIME_EXPLICIT
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
inner = 855,	center = 1090,	outer = 1054,	total = 3000
initial mass depletion timescale =1.605641e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  2874	1.564033491295528e-03	4.216965034285821e-01	1.119587404204415e-02
2.000000e+06	  3	  3000	  1717	1.383393199232773e-03	7.498942093324554e-01	1.291673375647669e-01
3.000000e+06	  3	  3000	  1296	1.034824409006641e-04	1.333521432163323e+00	5.393003412387520e-04
4.000000e+06	  3	  3000	  1818	1.283269213247136e-03	1.778279410038922e+00	4.110701232524454e-02
5.000000e+06	  3	  3000	  1171	1.587014130689987e-03	1.778279410038922e+00	5.129293728201839e-01
6.000000e+06	  3	  3000	  2591	1.362867564580314e-03	2.371373705661654e+00	4.103771546948635e-01
7.000000e+06	  3	  3000	   294	1.619907504699766e-03	3.162277660168377e+00	1.389378033465425e-01
8.000000e+06	  3	  3000	  2063	1.587641727011625e-03	3.162277660168377e+00	6.605499777061528e-01
9.000000e+06	  3	  3000	  1392	1.423317948006829e-03	4.216965034285820e+00	1.237705144071788e-01
1.000000e+07	  3	  3000	   669	1.354299547120566e-03	4.216965034285820e+00	6.471121655334857e-01
1.100000e+07	  3	  3000	  1258	2.312173864106845e-03	4.216965034285820e+00	1.165708497942368e+00
1.200000e+07	  3	  3000	  2236	1.272004826106300e-03	5.623413251903486e+00	2.834505107679619e-01
1.300000e+07	  3	  3000	   826	1.473004701169120e-03	5.623413251903486e+00	8.054577604086821e-01
1.400000e+07	  3	  3000	  2007	1.520142860427271e-03	5.623413251903486e+00	1.329377692567817e+00
1.500000e+07	  3	  3000	   431	1.428247753374319e-03	5.623413251903486e+00	1.853672352508895e+00
1.600000e+07	  3	  3000	   216	1.458303404465350e-03	7.498942093324552e+00	5.000251016075388e-01
1.700000e+07	  3	  3000	  2133	1.516718881479107e-03	7.498942093324552e+00	1.024910197715883e+00
1.800000e+07	  3	  3000	  2312	1.069259251236653e-03	7.498942093324552e+00	1.546716493317154e+00
1.900000e+07	  3	  3000	   780	1.707059210713460e-03	7.498942093324552e+00	2.072467670801867e+00
2.000000e+07	  3	  3000	  1630	1.094793849530471e-03	9.999999999999991e+00	9.422444306532404e-02
2.100000e+07	  3	  3000	  2947	1.599598197884848e-03	9.999999999999991e+00	6.181492105385405e-01
2.200000e+07	  3	  3000	   486	1.193035405942952e-03	9.999999999999991e+00	1.142176677179336e+00
2.300000e+07	  3	  3000	  1535	1.484857683195125e-03	9.999999999999991e+00	1.666917993363093e+00
2.400000e+07	  3	  3000	   440	1.473969617179306e-03	9.999999999999991e+00	2.190715438976043e+00
2.500000e+07	  3	  3000	  1788	1.800832219801310e-03	9.999999999999991e+00	2.716052919753382e+00
2.600000e+07	  3	  3000	  2162	1.727786245073746e-03	9.999999999999991e+00	3.238508280169053e+00
2.700000e+07	  3	  3000	  1816	1.081473351277790e-03	1.333521432163323e+01	4.278565563748349e-01
2.800000e+07	  3	  3000	  1232	1.442217909156541e-03	1.333521432163323e+01	9.515164125122395e-01
2.900000e+07	  3	  3000	   486	1.234591394581485e-03	1.333521432163323e+01	1.475093182071733e+00
3.000000e+07	  3	  3000	  2258	2.262527954496643e-03	1.333521432163323e+01	2.000234433580329e+00
3.100000e+07	  3	  3000	  1658	1.155745882278377e-03	1.333521432163323e+01	2.521980341547986e+00
3.200000e+07	  3	  3000	  2629	2.485218186483418e-03	1.333521432163323e+01	3.048308226160186e+00
3.300000e+07	  3	  3000	  2903	1.079878440835454e-03	1.333521432163323e+01	3.571977147605139e+00
3.400000e+07	  3	  3000	  1380	1.824286397612921e-03	1.333521432163323e+01	4.096516082983574e+00
3.500000e+07	  3	  3000	  1664	1.752507927732124e-03	1.778279410038921e+01	1.731063712581107e-01
3.600000e+07	  3	  3000	   873	1.560854524197584e-03	1.778279410038921e+01	6.965730193345255e-01
3.700000e+07	  3	  3000	  2079	1.104283840917177e-03	1.778279410038921e+01	1.222111801477829e+00
3.800000e+07	  3	  3000	   445	1.817641426014666e-03	1.778279410038921e+01	1.745136640135248e+00
3.900000e+07	  3	  3000	   363	1.597673551315938e-03	1.778279410038921e+01	2.270428137464940e+00
4.000000e+07	  3	  3000	  1905	1.726254551761375e-03	1.778279410038921e+01	2.794414691355347e+00
4.100000e+07	  3	  3000	  2465	2.036437612333839e-03	1.778279410038921e+01	3.318989356121292e+00
4.200000e+07	  3	  3000	  1213	1.554783902675094e-03	1.778279410038921e+01	3.843342145436149e+00
4.300000e+07	  3	  3000	  1596	1.840823806841577e-03	1.778279410038921e+01	4.367680222407057e+00
4.400000e+07	  3	  3000	   718	1.571865453025607e-03	1.778279410038921e+01	4.890525516871384e+00
4.500000e+07	  3	  3000	   239	2.030745440613679e-03	1.778279410038921e+01	5.414416080416729e+00
4.600000e+07	  3	  3000	  1798	1.512634812366454e-03	2.371373705661653e+01	6.912252282869817e-03
4.700000e+07	  3	  3000	  2656	1.795047064097882e-03	2.371373705661653e+01	5.310321569693388e-01
4.800000e+07	  3	  3000	  2328	2.296491945429823e-03	2.371373705661653e+01	1.055502093511202e+00
4.900000e+07	  3	  3000	  1919	1.901949200217100e-03	2.371373705661653e+01	1.579716992539983e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  3000	  1547	1.663607501372688e-03	2.371373705661653e+01	2.103234029919287e+00
